datetime,open,high,low,close,vol,amount,ma5,ma10
2017/10/26 10:19,8.54,8.54,8.54,8.54,102,87000,8.55,8.555555556
2017/10/26 10:20,8.54,8.54,8.52,8.53,342,291600,8.546,8.554444444
2017/10/26 10:21,8.53,8.53,8.53,8.53,163,139100,8.542,8.551111111
2017/10/26 10:22,8.53,8.56,8.52,8.56,1741,1481700,8.538,8.546666667
2017/10/26 10:23,8.53,8.55,8.53,8.53,26,22200,8.534,8.542222222
2017/10/26 10:24,8.55,8.57,8.53,8.57,399,341400,8.536,8.541111111
2017/10/26 10:25,8.57,8.57,8.56,8.56,21,18000,8.542,8.543333333
2017/10/26 10:26,8.55,8.55,8.55,8.55,35,29900,8.546,8.543333333
2017/10/26 10:27,8.54,8.54,8.53,8.54,90,76900,8.548,8.542222222
2017/10/26 10:28,8.54,8.55,8.54,8.54,215,183700,8.55,8.542222222
2017/10/26 10:29,8.55,8.55,8.54,8.55,46,39300,8.55,8.543333333
2017/10/26 10:30,8.55,8.55,8.55,8.55,49,41900,8.546,8.545555556
2017/10/26 10:31,8.53,8.55,8.53,8.55,91,77700,8.542,8.545555556
2017/10/26 10:32,8.55,8.56,8.55,8.55,41,35100,8.544,8.547777778
2017/10/26 10:33,8.55,8.55,8.53,8.53,107,91400,8.546,8.547777778
2017/10/26 10:34,8.53,8.53,8.53,8.53,41,34900,8.542,8.543333333
2017/10/26 10:35,8.53,8.54,8.53,8.53,35,29900,8.538,8.541111111
2017/10/26 10:36,8.54,8.54,8.53,8.53,81,69200,8.54,8.541111111
2017/10/26 10:37,8.54,8.54,8.53,8.53,24,20500,8.538,8.541111111
2017/10/26 10:38,8.53,8.54,8.53,8.54,124,105800,8.534,8.538888889
2017/10/26 10:39,8.54,8.55,8.54,8.54,173,147700,8.536,8.537777778
2017/10/26 10:40,8.55,8.55,8.54,8.55,156,133400,8.54,8.54
2017/10/26 10:41,8.55,8.56,8.55,8.55,52,44500,8.542,8.54
2017/10/26 10:42,8.56,8.56,8.54,8.54,103,88000,8.546,8.541111111
2017/10/26 10:43,8.54,8.55,8.54,8.55,105,89800,8.548,8.542222222
2017/10/26 10:44,8.56,8.56,8.55,8.55,106,90600,8.552,8.545555556
2017/10/26 10:45,8.55,8.55,8.54,8.54,27,23100,8.552,8.546666667
2017/10/26 10:46,8.54,8.55,8.54,8.54,107,91400,8.55,8.546666667
2017/10/26 10:47,8.55,8.56,8.55,8.56,37,31700,8.548,8.548888889
2017/10/26 10:48,8.56,8.56,8.56,8.56,20,17100,8.552,8.551111111
2017/10/26 10:49,8.56,8.56,8.55,8.55,90,76900,8.552,8.552222222
2017/10/26 10:50,8.55,8.56,8.55,8.56,120,102700,8.552,8.552222222
2017/10/26 10:51,8.57,8.57,8.56,8.56,51,43700,8.558,8.553333333
2017/10/26 10:52,8.57,8.57,8.57,8.57,32,27500,8.562,8.556666667
2017/10/26 10:53,8.56,8.57,8.56,8.56,55,47100,8.562,8.556666667
2017/10/26 10:54,8.56,8.56,8.55,8.56,91,77800,8.562,8.557777778
2017/10/26 10:55,8.57,8.58,8.57,8.58,158,135600,8.566,8.561111111
2017/10/26 10:56,8.58,8.58,8.57,8.58,49,42000,8.568,8.564444444
2017/10/26 10:57,8.57,8.57,8.57,8.57,45,38500,8.568,8.565555556
2017/10/26 10:58,8.56,8.57,8.55,8.55,161,137900,8.568,8.565555556
2017/10/26 10:59,8.56,8.56,8.55,8.55,11,9400,8.568,8.566666667
2017/10/26 11:00,8.57,8.57,8.57,8.57,45,38600,8.568,8.566666667
2017/10/26 11:01,8.55,8.55,8.55,8.55,85,72600,8.562,8.564444444
2017/10/26 11:02,8.55,8.55,8.55,8.55,2,1700,8.558,8.563333333
2017/10/26 11:03,8.55,8.55,8.55,8.55,31,26600,8.556,8.562222222
2017/10/26 11:04,8.56,8.56,8.56,8.56,116,99200,8.556,8.561111111
2017/10/26 11:05,8.56,8.56,8.55,8.55,90,77000,8.554,8.558888889
2017/10/26 11:06,8.55,8.55,8.55,8.55,367,313800,8.554,8.556666667
2017/10/26 11:07,8.55,8.55,8.55,8.55,50,42700,8.554,8.555555556
2017/10/26 11:08,8.55,8.55,8.54,8.54,123,105100,8.554,8.554444444
2017/10/26 11:09,8.54,8.55,8.54,8.55,92,78600,8.55,8.551111111
2017/10/26 11:10,8.55,8.55,8.55,8.55,0,0,8.548,8.551111111
2017/10/26 11:11,8.55,8.55,8.54,8.55,43,36800,8.548,8.551111111
2017/10/26 11:12,8.54,8.55,8.54,8.55,32,27300,8.546,8.55
2017/10/26 11:13,8.55,8.55,8.55,8.55,10,8600,8.546,8.548888889
2017/10/26 11:14,8.55,8.55,8.54,8.54,11,9400,8.548,8.547777778
2017/10/26 11:15,8.55,8.58,8.54,8.58,587,502900,8.548,8.547777778
2017/10/26 11:16,8.58,8.58,8.55,8.58,221,189600,8.554,8.551111111
2017/10/26 11:17,8.58,8.58,8.58,8.58,15,12800,8.562,8.554444444
2017/10/26 11:18,8.56,8.56,8.56,8.56,10,8600,8.564,8.556666667
2017/10/26 11:19,8.57,8.58,8.57,8.58,342,293400,8.568,8.558888889
