datetime,open,high,low,close,vol,amount,change,changerate,amplitude,openinterest,ma1,ma2,ma3,ma4
2020/12/15 13:20,9.0383,9.048,9.0188,9.0383,6374,5910665,0,0,0.0032,13,9.05,9.0616,9.0543,9.0412
2020/12/15 13:30,9.0285,9.048,9.0285,9.048,2317,2150422,0.0097,0.0011,0.0022,13,9.048,9.0616,9.0553,9.0401
2020/12/15 13:40,9.0577,9.0675,9.0383,9.0577,3857,3584471,0.0097,0.0011,0.0032,13,9.048,9.0577,9.0563,9.0396
2020/12/15 13:50,9.0577,9.0675,9.048,9.0577,2078,1932731,0,0,0.0022,13,9.048,9.0538,9.0568,9.0389
2020/12/15 14:00,9.0577,9.087,9.0577,9.0772,3041,2833677,0.0195,0.0022,0.0032,13,9.0558,9.0548,9.0573,9.0386
2020/12/15 14:10,9.0772,9.087,9.0675,9.087,2618,2439236,0.0097,0.0011,0.0021,13,9.0655,9.0577,9.0587,9.0389
2020/12/15 14:20,9.087,9.1259,9.0772,9.087,16101,15058666,0,0,0.0054,13,9.0733,9.0607,9.0597,9.0392
2020/12/15 14:30,9.087,9.1064,9.087,9.087,5416,5057432,0,0,0.0021,13,9.0792,9.0636,9.0612,9.0402
2020/12/15 14:40,9.087,9.0967,9.0675,9.087,5575,5198447,0,0,0.0032,13,9.085,9.0665,9.0631,9.041
2020/12/15 14:50,9.087,9.0967,9.0772,9.087,8258,7709131,0,0,0.0021,13,9.087,9.0714,9.0655,9.042
2020/12/15 15:00,9.087,9.1064,9.087,9.0967,8891,8302278,0.0097,0.0011,0.0021,15,9.0889,9.0772,9.0694,9.0431
2020/12/16 9:40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 9:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 10:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 10:10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 10:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 10:30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 10:40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 10:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 11:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 11:10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 11:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 11:30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 13:10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 13:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 13:30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 13:40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 13:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 14:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 14:10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 14:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 14:30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 14:40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 14:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/16 15:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020/12/17 9:40,8.9896,9.0285,8.9701,9.0188,15721,14521496,0.0195,0.0022,0.0065,13,9.0052,9.0227,9.0446,9.0527
2020/12/17 9:50,9.009,9.0577,8.9993,9.0285,9614,8922085,0.0097,0.0011,0.0065,13,9.009,9.0217,9.0446,9.0527
2020/12/17 10:00,9.0285,9.0383,8.9798,8.9993,8540,7902650,-0.0292,-0.0032,0.0065,13,9.011,9.0178,9.0412,9.0519
2020/12/17 10:10,8.9993,9.0188,8.9798,9.009,7939,7332721,0.0097,0.0011,0.0043,13,9.011,9.0139,9.0368,9.0516
2020/12/17 10:20,8.9993,9.0383,8.9896,9.0188,8148,7539206,0.0097,0.0011,0.0054,13,9.0149,9.012,9.0329,9.0516
2020/12/17 10:30,9.009,9.0285,8.9993,9.0188,7191,6650046,0,0,0.0032,13,9.0149,9.01,9.03,9.0516
2020/12/17 10:40,9.0188,9.0188,8.9993,9.0188,4739,4384252,0,0,0.0022,13,9.0129,9.011,9.0271,9.0514
2020/12/17 10:50,9.0188,9.0675,9.009,9.0675,9694,9000110,0.0487,0.0054,0.0065,13,9.0266,9.0188,9.0271,9.0519
2020/12/17 11:00,9.0772,9.1064,9.0675,9.087,18460,17228149,0.0195,0.0021,0.0043,13,9.0422,9.0266,9.0285,9.0526
2020/12/17 11:10,9.0772,9.1162,9.0772,9.0967,13751,12848733,0.0097,0.0011,0.0043,13,9.0577,9.0363,9.031,9.053
2020/12/17 11:20,9.0967,9.1649,9.0967,9.1551,23101,21677341,0.0584,0.0064,0.0075,13,9.085,9.05,9.0363,9.0547
2020/12/17 11:30,9.1551,9.1649,9.1357,9.1551,20941,19672859,0,0,0.0032,14,9.1123,9.0626,9.0422,9.0561
2020/12/17 13:10,9.1551,9.2038,9.1259,9.1844,24713,23272517,0.0292,0.0032,0.0085,13,9.1357,9.0811,9.0495,9.0582
2020/12/17 13:20,9.1844,9.272,9.1649,9.272,29446,27846769,0.0877,0.0095,0.0117,13,9.1727,9.1074,9.0607,9.062
2020/12/17 13:30,9.272,9.272,9.2136,9.2233,16932,16056135,-0.0487,-0.0053,0.0063,13,9.198,9.1279,9.0699,9.065
2020/12/17 13:40,9.2233,9.272,9.2136,9.2233,14825,14068974,0,0,0.0063,13,9.2116,9.1483,9.0792,9.0685
2020/12/17 13:50,9.2233,9.2623,9.2136,9.2331,15169,14402110,0.0097,0.0011,0.0053,13,9.2272,9.1697,9.0904,9.0715
